Symbol,BuyPrice,SellPrice
TRXAUD,0.00000000,0.00000000
TRXEUR,0.09712000,0.09713000
VETTRY,0.86450000,0.86570000
SHIBUSDT,0.00000962,0.00000963
SHIBBUSD,0.00000961,0.00000962
ICPBTC,0.00013440,0.00013470
ICPBNB,0.02244000,0.02249000
ICPBUSD,0.00000000,0.00000000
ICPUSDT,5.61900000,5.62300000
SHIBEUR,0.00000892,0.00000893
SHIBRUB,0.00000000,0.00000000
ETCEUR,18.87000000,18.91000000
ETCBRL,0.00000000,0.00000000
DOGEBIDR,0.00,0.00
ARBTC,0.00019840,0.00019860
ARBNB,0.00000000,0.00000000
ARBUSD,0.00000000,0.00000000
ARUSDT,8.29200000,8.29700000
POLSBTC,0.00001854,0.00001867
POLSBNB,0.00309000,0.00312000
POLSBUSD,0.00000000,0.00000000
POLSUSDT,0.77670000,0.77810000
MDXBTC,0.00000217,0.00000218
MDXBNB,0.00000000,0.00000000
MDXBUSD,0.00000000,0.00000000
MDXUSDT,0.09070000,0.09100000
MASKBNB,0.01398000,0.01402000
MASKBUSD,0.00000000,0.00000000
MASKUSDT,3.50300000,3.50400000
LPTBTC,0.00015080,0.00015120
LPTBNB,0.02519000,0.02527000
LPTBUSD,0.00000000,0.00000000
LPTUSDT,6.31000000,6.32000000
ETHUAH,91683.00000000,91764.00000000
MATICBRL,4.30200000,4.31200000
SOLEUR,66.19000000,66.20000000
SHIBBRL,0.00004791,0.00004794
AGIXBTC,0.00000743,0.00000744
ICPEUR,5.20200000,5.21300000
MATICGBP,0.70150000,0.70350000
SHIBTRY,0.00028101,0.00028103
MATICBIDR,0.00,0.00
MATICRUB,0.00000000,0.00000000
NUBTC,0.00000000,0.00000000
NUBNB,0.00000000,0.00000000
NUBUSD,0.00000000,0.00000000
NUUSDT,0.00000000,0.00000000
XVGUSDT,0.00369600,0.00369800
RLCBUSD,0.00000000,0.00000000
CELRBUSD,0.00000000,0.00000000
ATMBUSD,0.00000000,0.00000000
ZENBUSD,0.00000000,0.00000000
FTMBUSD,0.38200000,0.38240000
THETABUSD,0.00000000,0.00000000
WINBUSD,0.00000000,0.00000000
KAVABUSD,0.00000000,0.00000000
XEMBUSD,0.00000000,0.00000000
ATABTC,0.00000249,0.00000250
ATABNB,0.00000000,0.00000000
ATABUSD,0.00000000,0.00000000
ATAUSDT,0.10410000,0.10420000
GTCBTC,0.00002728,0.00002732
GTCBNB,0.00000000,0.00000000
GTCBUSD,0.00000000,0.00000000
GTCUSDT,1.14000000,1.14100000
TORNBTC,0.00000000,0.00000000
TORNBNB,0.00000000,0.00000000
TORNBUSD,0.00000000,0.00000000
TORNUSDT,0.00000000,0.00000000
MATICTRY,25.28500000,25.28600000
ETCGBP,0.00000000,0.00000000
SOLGBP,57.88000000,57.97000000
BAKEBTC,0.00000541,0.00000542
COTIBUSD,0.00000000,0.00000000
KEEPBTC,0.00000000,0.00000000
KEEPBNB,0.00000000,0.00000000
KEEPBUSD,0.00000000,0.00000000
KEEPUSDT,0.00000000,0.00000000
SOLTRY,2085.40000000,2086.80000000
RUNEGBP,0.00000000,0.00000000
